Artist,Track,Playcount,Album,Duration,Listeners,Tags,Artist URL,Track URL
Karthik,Behka,16433,Ghajini,311000,3255,"['bollywood', 'Hindi', 'upbeat', 'Bollywood Soundtracks', 'teen', 'Rahman', 'bollywood film', 'dsi romantics']",https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/behka
Karthik,"Oru Maalai (Language: Tamil; Film: Ghajini; Film Artists: Surya, Asin)",5470,Ghajini,353000,2848,"['tamil', 'karthik-oru maalai tamil film:ghajini', 'KK Love', 'tamil- new', 'tamil-new', 'Hindi', 'harris jeyaraj', 'surya', 'asin', 'gajini', 'macdf', 'soorya']",https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/oru%2bmaalai%2b%2528language%253a%2btamil%253b%2bfilm%253a%2bghajini%253b%2bfilm%2bartists%253a%2bsurya%252c%2basin%2529
Karthik,Chance,4576,Energy,202000,2463,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/chance
Karthik,"Thooriga - From ""Navarasa""",17755,Unknown,0,2244,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/thooriga%2b-%2bfrom%2b%2522navarasa%2522
Karthik,Oru Maalai,16228,Ghajini (Original Motion Picture Soundtrack) - EP,0,2190,"['poetry', 'favourite', 'evening melody']",https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/oru%2bmaalai
Karthik,Vizhi Moodi,9284,Ayan,332000,2065,"['funky', 'tamil', 'telugu', 'TM', 'world', 'Indian', 'bollywood']",https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/vizhi%2bmoodi
Karthik,Unnaale Unnaale,12684,July Kaartril Harris Jayaraj Hits,283000,1883,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/unnaale%2bunnaale
Karthik,Aahatein,7386,Ek Main Aur Ekk Tu (Original Motion Picture Soundtrack),267000,1841,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/aahatein
Karthik,"Oliyilea (Language: Tamil; Film: Azagki; Film Artists: Parthiban, Nandita Dass)",2963,Unknown,0,1713,"['tamil', 'karthik-oliyilea tamil film:azagki', 'dd', 'Bhavadharini']",https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/oliyilea%2b%2528language%253a%2btamil%253b%2bfilm%253a%2bazagki%253b%2bfilm%2bartists%253a%2bparthiban%252c%2bnandita%2bdass%2529
Karthik,O My Friend,5531,Happy Days,302000,1583,"['telugu', '2000s', 'soothing', 'tollywood', 'Very Nice Song', 'tollywood karthik']",https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/o%2bmy%2bfriend
Karthik,Chilipiga,7961,Orange (Original Motion Picture Soundtrack),328000,1303,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/chilipiga
Karthik,Vinnathaandi Varuvaayaa,3869,Unknown,0,1260,"['A R Rahman', 'ZapLovedTracks', 'isma', 'Karthik - Vinnathaandi Varuvaayaa', 'tamil telugu']",https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/vinnathaandi%2bvaruvaayaa
Karthik,Nijanga Nenena,7598,Kottabangarulokam,319000,1092,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/nijanga%2bnenena
Karthik,Usure Pogudhey,3143,Raavanan (Original Motion Picture Soundtrack),366000,955,"['tamil', 'ZapLovedTracks']",https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/usure%2bpogudhey
Karthik,"Kan Pesum Varthaigal (From ""7/G Rainbow Colony"")",4238,Youth Beats - Hits of A.R.Rahman and Yuvan Shankar Raja,348000,846,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/kan%2bpesum%2bvarthaigal%2b%2528from%2b%25227%252fg%2brainbow%2bcolony%2522%2529
Karthik,Niluvaddham,3987,Unknown,357000,749,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/niluvaddham
Karthik,Oru Nokku,2964,Sunday Holiday (Original Motion Picture Soundtrack),294000,713,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/oru%2bnokku
Karthik,Ale Ale,3152,Savaari (Original Motion Picture Soundtrack) - EP,385000,679,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/ale%2bale
Karthik,Behene De Mujhe Behene De,1204,Unknown,0,675,"['bollywood', 'A R Rahman']",https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/behene%2bde%2bmujhe%2bbehene%2bde
Karthik,Arare Arare,4024,Happy Days (Original Motion Picture Soundtrack),299000,669,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/arare%2barare
Karthik,I Am In Love,3465,Once Upon A Time In Mumbaai (Original Motion Picture Soundtrack),299000,665,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/i%2bam%2bin%2blove
Karthik,Un Paarvaiyil,3451,Unknown,358000,661,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/un%2bpaarvaiyil
Karthik,Usure Poyene,1257,Villain (Original Soundtrack),363000,656,"['tamil', 'telugu', 'isma', 'Karthik - Usure Poyene', 'karthik telugu']",https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/usure%2bpoyene
Karthik,Unnatundi Gundey,3151,Ninnu Kori (Original Motion Picture Soundtrack),280000,613,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/unnatundi%2bgundey
Karthik,Devatha,3491,Potugadu (Original Motion Picture Soundtrack),221000,600,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/devatha
Karthik,Behene De,2606,Raavan (Original Motion Picture Soundtrack),0,597,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/behene%2bde
Karthik,Oka Maru,2921,Ghajini,352000,585,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/oka%2bmaru
Karthik,Rojamalarae (Language: Tamil; Film: Love Marriage),953,Unknown,0,584,['tamil'],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/rojamalarae%2b%2528language%253a%2btamil%253b%2bfilm%253a%2blove%2bmarriage%2529
Karthik,girl friend,2149,Unknown,0,547,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/girl%2bfriend
Karthik,Pacha Bottasi,2906,Baahubali - The Beginning (Original Motion Picture Soundtrack),256000,533,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/pacha%2bbottasi
Karthik,Nee Jathaga,3082,Unknown,0,511,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/nee%2bjathaga
Karthik,Ee Kaattu,2212,Ee Kaattu,328000,497,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/ee%2bkaattu
Karthik,Maha Ganapathim,1379,Music I Like,231000,465,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/maha%2bganapathim
Karthik,"Alai Alaiyaaga - From ""Navarasa""",1643,Unknown,0,447,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/alai%2balaiyaaga%2b-%2bfrom%2b%2522navarasa%2522
Karthik,Yenno Yenno,2170,Unknown,271000,444,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/yenno%2byenno
Karthik,I Am In Love - www.Songs.PK,1715,Unknown,0,443,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/i%2bam%2bin%2blove%2b-%2bwww.songs.pk
Karthik,Minnalgal Koothadum,2738,Polladhavan (Original Motion Picture Soundtrack),409000,438,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/minnalgal%2bkoothadum
Karthik,Oru Ooril,1712,Kaakha Kaakha,279000,418,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/oru%2booril
Karthik,Uyire En Uyire,1709,Unknown,333000,414,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/uyire%2ben%2buyire
Karthik,Pilichina,1849,Athadu,296000,403,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/pilichina
Karthik,Hello Hello,2471,Nani Unplugged,212000,389,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/hello%2bhello
Karthik,"Adhirudha - From ""Navarasa""",1624,Unknown,0,387,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/adhirudha%2b-%2bfrom%2b%2522navarasa%2522
Karthik,Nagumomu,1366,Music I Like,565000,382,['tamil'],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/nagumomu
Karthik,"Erumbu Onnu (Language: Tamil; Film: Gajendra; Film Artists: Vijayakanth, Sneha)",536,Unknown,0,373,['tamil'],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/erumbu%2bonnu%2b%2528language%253a%2btamil%253b%2bfilm%253a%2bgajendra%253b%2bfilm%2bartists%253a%2bvijayakanth%252c%2bsneha%2529
Karthik,"Naanum - From ""Navarasa""",2007,Unknown,0,372,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/naanum%2b-%2bfrom%2b%2522navarasa%2522
Karthik,Yemaindho Teliyadu Naaku,1369,Unknown,0,365,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/yemaindho%2bteliyadu%2bnaaku
Karthik,Minunundae Mullapolae,1911,Tharangam - Single,262000,351,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/minunundae%2bmullapolae
Karthik,Unnattundi Gundey,1761,Unknown,0,351,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/unnattundi%2bgundey
Karthik,Kan Pesum Varthaigal,1671,7/G Rainbow Colony,350000,349,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/kan%2bpesum%2bvarthaigal
Karthik,Gusa Gusa Lade,1523,Unknown,237000,343,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/gusa%2bgusa%2blade
Karthik,Oorugalle,1423,Unknown,0,327,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/oorugalle
Karthik,Ulaviravu,1149,"Ulaviravu (From ""Ondraga Originals"")",285000,321,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/ulaviravu
Karthik,Yellipoke Shyamala,1545,A Aa,215000,318,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/yellipoke%2bshyamala
Karthik,"Naan Aval Illai (From ""Masss"")",1556,Unknown,0,317,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/naan%2baval%2billai%2b%2528from%2b%2522masss%2522%2529
Karthik,Choododhu,1418,Unknown,0,300,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/choododhu
Karthik,kannula baasalu,1166,7/G Brundhavana Colony,349000,299,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/kannula%2bbaasalu
Karthik,Ye Vaipuga,1018,Unknown,87000,292,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/ye%2bvaipuga
Karthik,Hawa Hawa,1387,Unknown,252000,287,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/hawa%2bhawa
Karthik,Gore Gore,1225,Kick (Original Motion Picture Soundtrack),307000,285,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/gore%2bgore
Karthik,Madura Jilla,1896,Thiruvilayadal Arambam (Original Motion Picture Soundtrack),267000,284,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/madura%2bjilla
Karthik,Khuda Hafiz,565,Unknown,0,277,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/khuda%2bhafiz
Karthik,Kopama Napina,1109,Unknown,0,274,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/kopama%2bnapina
Karthik,Nenthukitten,1211,Unknown,388000,272,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/nenthukitten
Karthik,Nee Korinaal,1510,Unknown,306000,271,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/nee%2bkorinaal
Karthik,Aval Ulaghazhagi,1118,Lesa Lesa (Original Motion Picture Soundtrack),309000,271,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/aval%2bulaghazhagi
Karthik,Hoyna,1034,Aata (Original Motion Picture Soundtrack) - EP,306000,268,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/hoyna
Karthik,Badhulu Thochanai,1320,Unknown,251000,265,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/badhulu%2bthochanai
Karthik,Pilla O Pilla,1220,Unknown,239000,258,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/pilla%2bo%2bpilla
